iter	Passed	Remaining
0	137	136959
1	139	69776
2	142	47379
3	144	35944
4	146	29245
5	149	24763
6	152	21573
7	154	19176
8	156	17285
9	159	15801
10	162	14603
11	165	13597
12	167	12750
13	170	11999
14	173	11392
15	176	10830
16	178	10338
17	181	9875
18	183	9469
19	186	9115
20	188	8803
21	191	8514
22	194	8245
23	196	7998
24	199	7777
25	201	7566
26	205	7388
27	207	7214
28	210	7055
29	213	6904
30	216	6758
31	218	6617
32	221	6495
33	224	6372
34	227	6259
35	229	6156
36	232	6061
37	235	5965
38	238	5876
39	241	5789
40	243	5703
41	246	5627
42	249	5547
43	251	5468
44	254	5395
45	257	5333
46	259	5265
47	262	5200
48	264	5135
49	267	5073
50	269	5017
51	272	4967
52	275	4914
53	277	4862
54	280	4812
55	282	4763
56	285	4719
57	287	4675
58	290	4634
59	292	4586
60	295	4543
61	297	4506
62	300	4470
63	303	4436
64	306	4404
65	308	4367
66	311	4331
67	313	4291
68	315	4258
69	318	4229
70	320	4197
71	323	4167
72	325	4138
73	328	4108
74	330	4076
75	333	4050
76	335	4020
77	337	3987
78	339	3959
79	341	3930
80	343	3902
81	346	3877
82	348	3854
83	351	3831
84	353	3804
85	355	3778
86	357	3754
87	360	3734
88	362	3713
89	365	3693
90	367	3672
91	369	3650
92	372	3629
93	374	3608
94	376	3588
95	378	3566
96	381	3547
97	383	3529
98	385	3508
99	387	3489
100	389	3470
101	392	3452
102	394	3434
103	397	3420
104	399	3404
105	401	3389
106	403	3370
107	405	3351
108	408	3338
109	410	3323
110	413	3309
111	415	3295
112	418	3281
113	420	3265
114	422	3253
115	425	3241
116	427	3228
117	430	3217
118	433	3205
119	435	3193
120	438	3182
121	440	3173
122	443	3161
123	445	3147
124	447	3130
125	449	3117
126	451	3103
127	453	3089
128	455	3077
129	458	3066
130	460	3054
131	462	3044
132	465	3033
133	467	3021
134	470	3011
135	472	3000
136	474	2987
137	476	2976
138	478	2963
139	480	2951
140	482	2940
141	484	2928
142	486	2915
143	488	2906
144	490	2894
145	492	2882
146	494	2872
147	496	2859
148	498	2849
149	500	2835
150	502	2826
151	504	2814
152	506	2803
153	508	2792
154	510	2781
155	512	2773
156	514	2762
157	516	2751
158	518	2740
159	520	2730
160	522	2722
161	524	2711
162	526	2701
163	528	2693
164	530	2685
165	532	2676
166	534	2667
167	536	2658
168	538	2648
169	540	2636
170	542	2628
171	544	2620
172	546	2611
173	548	2603
174	550	2594
175	552	2585
176	554	2576
177	556	2569
178	558	2562
179	560	2554
180	562	2546
181	564	2537
182	566	2528
183	568	2520
184	570	2512
185	572	2504
186	574	2496
187	576	2490
188	578	2482
189	580	2474
190	582	2466
191	584	2458
192	586	2450
193	587	2442
194	589	2434
195	591	2427
196	593	2419
197	595	2414
198	597	2406
199	599	2398
200	601	2391
201	603	2383
202	605	2378
203	608	2373
204	610	2366
205	612	2359
206	614	2352
207	616	2345
208	618	2341
209	620	2336
210	623	2330
211	625	2323
212	626	2316
213	628	2310
214	631	2303
215	632	2297
216	634	2290
217	636	2283
218	638	2276
219	640	2270
220	642	2265
221	644	2260
222	647	2255
223	649	2249
224	651	2243
225	653	2237
226	655	2231
227	657	2226
228	659	2221
229	661	2215
230	663	2209
231	665	2204
232	667	2198
233	669	2190
234	671	2184
235	673	2178
236	674	2172
237	676	2166
238	678	2160
239	680	2155
240	682	2149
241	684	2145
242	687	2141
243	689	2135
244	691	2130
245	693	2124
246	694	2118
247	696	2112
248	698	2107
249	700	2102
250	702	2096
251	704	2092
252	706	2086
253	708	2081
254	710	2076
255	712	2071
256	714	2066
257	716	2061
258	718	2056
259	721	2052
260	723	2047
261	725	2042
262	727	2037
